,fold,Tree K50,SVM K50,Tree K100,SVM K100,Tree K300,SVM K300,Tree K1000,SVM K1000,Tree K3000,SVM K3000
Games,Fold-0,0.7815126050420170,0.8224789915966390,0.7457983193277310,0.7762605042016810,0.657563025210084,0.8939075630252100,0.7457983193277310,0.8172268907563020,0.6039915966386560,0.6701680672268910
,Fold-1,0.8046218487394960,0.9233193277310920,0.7521008403361340,0.7941176470588240,0.7342436974789920,0.8760504201680670,0.7342436974789920,0.934873949579832,0.6344537815126050,0.6701680672268910
,Fold-2,0.592436974789916,0.7111344537815130,0.6334033613445380,0.7289915966386560,0.6281512605042020,0.7405462184873950,0.6334033613445380,0.7699579831932770,0.657563025210084,0.6701680672268910
,Fold-3,0.6155462184873950,0.7048319327731090,0.7394957983193280,0.7699579831932770,0.6512605042016810,0.8109243697478990,0.6628151260504200,0.7815126050420170,0.6155462184873950,0.6228991596638660
,Fold-4,0.6087962962962960,0.6261574074074070,0.5902777777777780,0.712962962962963,0.5902777777777780,0.744212962962963,0.5717592592592590,0.7199074074074070,0.6342592592592590,0.6006944444444440
MDWE,Fold-0,0.641025641025641,0.8397435897435900,0.8076923076923080,0.8782051282051280,0.8076923076923080,0.8782051282051280,0.8461538461538460,0.8782051282051280,0.7307692307692310,0.8782051282051280
,Fold-1,0.7115384615384620,0.7115384615384620,0.5,0.7948717948717950,0.5833333333333330,0.6666666666666670,0.5,0.6666666666666670,0.5833333333333330,0.6666666666666670
,Fold-2,0.7243589743589740,0.9230769230769230,0.7243589743589740,0.9166666666666670,0.6025641025641020,1,0.5192307692307690,0.9230769230769230,0.5192307692307690,0.7115384615384620
,Fold-3,0.5641025641025640,0.8012820512820510,0.5641025641025640,0.9166666666666670,0.5641025641025640,0.9166666666666670,0.6025641025641020,0.7948717948717950,0.4807692307692310,0.75
,Fold-4,0.7948717948717950,0.7948717948717950,0.7948717948717950,0.8782051282051280,0.75,0.9166666666666670,0.75,0.9166666666666670,0.8333333333333330,0.75
Pair,Fold-0,0.6815789473684210,0.5008771929824560,0.6684210526315790,0.6605263157894740,0.6482456140350880,0.6807017543859650,0.6087719298245610,0.6412280701754390,0.5754385964912280,0.5745614035087720
,Fold-1,0.7219298245614030,0.6403508771929820,0.8078947368421050,0.6675438596491230,0.6614035087719300,0.7403508771929820,0.7815789473684210,0.8008771929824560,0.5745614035087720,0.7271929824561400
,Fold-2,0.7149122807017540,0.593859649122807,0.8140350877192980,0.7868421052631580,0.6675438596491230,0.7403508771929820,0.7543859649122810,0.8675438596491230,0.8605263157894740,0.7412280701754390
,Fold-3,0.6280701754385960,0.7271929824561400,0.6412280701754390,0.7201754385964910,0.7412280701754390,0.7535087719298250,0.7350877192982460,0.7938596491228070,0.7280701754385960,0.6947368421052630
,Fold-4,0.6409774436090220,0.7857142857142860,0.5507518796992480,0.7011278195488720,0.6804511278195490,0.6033834586466160,0.631578947368421,0.8233082706766920,0.6090225563909780,0.7293233082706770
Test,Fold-0,0.8025641025641030,0.5833333333333330,0.8025641025641030,0.7423076923076920,0.8025641025641030,0.6666666666666670,0.7948717948717950,0.6666666666666670,0.8025641025641030,0.75
,Fold-1,0.7948717948717950,0.6435897435897440,0.7948717948717950,0.5833333333333330,0.7948717948717950,0.5833333333333330,0.7948717948717950,0.6666666666666670,0.7948717948717950,0.6589743589743590
,Fold-2,0.8935897435897440,0.75,0.8858974358974360,0.75,0.8858974358974360,0.7423076923076920,0.8858974358974360,0.6589743589743590,0.8858974358974360,0.6589743589743590
,Fold-3,0.8025641025641030,0.5833333333333330,0.8025641025641030,0.7423076923076920,0.8025641025641030,0.7423076923076920,0.8025641025641030,0.6666666666666670,0.8025641025641030,0.6666666666666670
,Fold-4,0.6961538461538460,0.6666666666666670,0.6961538461538460,0.5833333333333330,0.6961538461538460,0.5833333333333330,0.6961538461538460,0.5833333333333330,0.6961538461538460,0.5833333333333330
Illiterate,Fold-0,0.810077519379845,0.5,0.810077519379845,0.7984496124031010,0.7868217054263560,0.5,0.810077519379845,0.5,0.8191214470284240,0.5
,Fold-1,0.8168604651162790,0.75,0.8168604651162790,0.8284883720930230,0.8168604651162790,0.7383720930232560,0.8168604651162790,0.6133720930232560,0.8168604651162790,0.7383720930232560
,Fold-2,0.7776162790697670,0.625,0.5901162790697670,0.8125,0.5901162790697670,0.625,0.6569767441860470,0.625,0.6569767441860470,0.625
,Fold-3,0.8677325581395350,0.9258720930232560,0.8677325581395350,0.9142441860465120,0.8677325581395350,0.9375,0.8212209302325580,0.9375,0.8677325581395350,0.9375
,Fold-4,0.9302325581395350,0.8125,0.9186046511627910,0.9142441860465120,0.9302325581395350,0.8125,0.8488372093023260,0.8125,0.8488372093023260,0.8008720930232560
Ontologies,Fold-0,0.6994382022471910,0.5887640449438200,0.6994382022471910,0.6943820224719100,0.7050561797752810,0.7662921348314610,0.6825842696629210,0.6331460674157300,0.6825842696629210,0.6331460674157300
,Fold-1,0.8494382022471910,0.6943820224719100,0.8494382022471910,0.5831460674157300,0.8494382022471910,0.7275280898876400,0.8494382022471910,0.7387640449438200,0.8494382022471910,0.6331460674157300
,Fold-2,0.9325842696629210,0.5499375780274660,0.9325842696629210,0.6111111111111110,0.8601747815230960,0.9275905118601750,0.8601747815230960,0.6111111111111110,0.8601747815230960,0.6610486891385770
,Fold-3,0.9382022471910110,0.7721598002496880,0.9382022471910110,0.7777777777777780,0.9438202247191010,0.877652933832709,0.9269662921348310,0.8333333333333330,0.9438202247191010,0.7777777777777780
,Fold-4,0.8181818181818180,0.8276515151515150,0.8023989898989900,0.8333333333333330,0.8194444444444440,0.9046717171717170,0.8194444444444440,0.9217171717171720,0.8194444444444440,0.9273989898989900
SLR,Fold-0,0.8333333333333330,0.9,0.5,0.8333333333333330,0.5,1,0.5,0.8333333333333330,0.5,0.8333333333333330
,Fold-1,0.8333333333333330,0.6,0.5,1,0.5,0.9,0.5,0.9,0.5,0.9
,Fold-2,0.8333333333333330,0.6666666666666670,0.5,0.6666666666666670,0.5,0.6666666666666670,0.5,0.8333333333333330,0.5,0.6666666666666670
,Fold-3,0.8333333333333330,0.875,0.5,1,0.5,1,0.5,1,0.5,0.875
,Fold-4,0.75,1,0.5,1,0.5,1,0.5,0.75,0.5,0.75
XBI,Fold-0,0.90625,0.9166666666666670,0.90625,0.7395833333333330,0.90625,0.7395833333333330,0.90625,0.7395833333333330,0.90625,0.7395833333333330
,Fold-1,0.90625,0.8541666666666670,0.90625,0.8020833333333330,0.90625,0.8020833333333330,0.90625,0.8020833333333330,0.90625,0.7395833333333330
,Fold-2,0.8736702127659580,0.8430851063829790,0.8736702127659580,0.8018617021276600,0.8630319148936170,0.8018617021276600,0.8630319148936170,0.8018617021276600,0.8736702127659580,0.8018617021276600
,Fold-3,0.8537234042553190,0.9162234042553190,0.8537234042553190,0.8018617021276600,0.8537234042553190,0.8018617021276600,0.8537234042553190,0.8018617021276600,0.8537234042553190,0.8018617021276600
,Fold-4,0.9574468085106380,0.9680851063829790,0.9574468085106380,0.9893617021276600,0.9361702127659580,1,0.9361702127659580,1,0.9255319148936170,0.9285714285714290