,fold,decision_tree_fscore_th_x,svm_fscore_th_x,group,decision_tree_fscore_th_y,svm_fscore_th_y,decision_tree_fscore_th_x,svm_fscore_th_x,decision_tree_fscore_th_y,svm_fscore_th_y,decision_tree_fscore_th,svm_fscore_th
0,Fold-0,0.545454545455,0.618181818182,games.csv,0.548387096774,0.641509433962,0.6875,0.7441860465119999,0.555555555556,0.8571428571430001,0.5,0.380952380952
1,Fold-1,0.5762711864410001,0.5245901639339999,games.csv,0.548387096774,0.561403508772,0.548387096774,0.8,0.551724137931,0.666666666667,0.4375,0.28571428571400004
2,Fold-2,0.548387096774,0.618181818182,games.csv,0.548387096774,0.641509433962,0.548387096774,0.7428571428569999,0.37037037037,0.666666666667,0.484848484848,0.434782608696
3,Fold-3,0.548387096774,0.5666666666669999,games.csv,0.548387096774,0.586206896552,0.548387096774,0.651162790698,0.548387096774,0.7428571428569999,0.588235294118,0.434782608696
4,Fold-4,0.542372881356,0.592592592593,games.csv,0.542372881356,0.5957446808510001,0.542372881356,0.666666666667,0.514285714286,0.689655172414,0.514285714286,0.380952380952
5,Fold-0,0.6,0.6,mdwe.csv,0.6,0.631578947368,0.75,0.8,0.8,0.7272727272730001,0.631578947368,0.0
6,Fold-1,0.6,0.666666666667,mdwe.csv,0.7272727272730001,0.666666666667,0.222222222222,0.28571428571400004,0.615384615385,0.5,0.5,0.0
7,Fold-2,0.631578947368,0.705882352941,mdwe.csv,0.5,0.8,0.615384615385,0.5,0.615384615385,0.5,0.444444444444,0.0
8,Fold-3,0.526315789474,0.625,mdwe.csv,0.444444444444,0.666666666667,0.470588235294,0.5,0.42105263157899997,0.666666666667,0.444444444444,0.0
9,Fold-4,0.7272727272730001,0.8,mdwe.csv,0.666666666667,0.833333333333,0.7272727272730001,0.5,0.666666666667,0.666666666667,0.6,0.0
10,Fold-0,0.44117647058799997,0.483870967742,pair.csv,0.44117647058799997,0.47619047618999993,0.55,0.555555555556,0.48648648648599996,0.5957446808510001,0.47368421052599996,0.5714285714289999
11,Fold-1,0.44117647058799997,0.56,pair.csv,0.44117647058799997,0.5714285714289999,0.689655172414,0.648648648649,0.5714285714289999,0.7027027027030001,0.6451612903230001,0.709677419355
12,Fold-2,0.44117647058799997,0.566037735849,pair.csv,0.46875,0.545454545455,0.642857142857,0.6976744186049999,0.451612903226,0.714285714286,0.631578947368,0.7317073170730001
13,Fold-3,0.44117647058799997,0.555555555556,pair.csv,0.44117647058799997,0.576923076923,0.444444444444,0.6046511627910001,0.625,0.651162790698,0.625,0.619047619048
14,Fold-4,0.424242424242,0.48275862069,pair.csv,0.424242424242,0.48275862069,0.470588235294,0.5714285714289999,0.516129032258,0.583333333333,0.4375,0.5957446808510001
15,Fold-0,0.117647058824,0.133333333333,testing.csv,0.45454545454499995,0.185185185185,0.45454545454499995,0.444444444444,0.45454545454499995,0.444444444444,0.45454545454499995,0.5
16,Fold-1,0.157894736842,0.155844155844,testing.csv,0.375,0.46153846153800004,0.375,0.666666666667,0.375,0.5,0.375,0.470588235294
17,Fold-2,0.19512195122,0.155844155844,testing.csv,0.322580645161,0.35294117647100004,0.322580645161,0.5,0.322580645161,0.45454545454499995,0.322580645161,0.666666666667
18,Fold-3,0.1875,0.155844155844,testing.csv,0.28571428571400004,0.363636363636,0.28571428571400004,0.666666666667,0.28571428571400004,0.416666666667,0.28571428571400004,0.434782608696
19,Fold-4,0.25,0.17857142857099997,testing.csv,0.16,0.28571428571400004,0.16,0.28571428571400004,0.16,0.25,0.16,0.0
20,Fold-0,0.313725490196,0.271186440678,illiterate.csv,0.8235294117649999,0.46666666666699996,0.75,0.0,0.75,0.5,0.75,0.363636363636
21,Fold-1,0.631578947368,0.583333333333,illiterate.csv,0.631578947368,0.484848484848,0.631578947368,0.0,0.631578947368,0.545454545455,0.631578947368,0.363636363636
22,Fold-2,0.22641509434,0.271186440678,illiterate.csv,0.5,0.705882352941,0.588235294118,0.4,0.625,0.666666666667,0.533333333333,0.545454545455
23,Fold-3,0.32,0.271186440678,illiterate.csv,0.736842105263,0.636363636364,0.666666666667,0.875,0.736842105263,0.8235294117649999,0.736842105263,0.875
24,Fold-4,0.269230769231,0.271186440678,illiterate.csv,0.7,0.592592592593,0.761904761905,0.769230769231,0.761904761905,0.8,0.7,0.666666666667
25,Fold-0,0.4,0.35294117647100004,ontologies.csv,0.416666666667,0.133333333333,0.416666666667,0.27906976744199996,0.416666666667,0.555555555556,0.434782608696,0.413793103448
26,Fold-1,0.5,0.4375,ontologies.csv,0.538461538462,0.301886792453,0.538461538462,0.375,0.538461538462,0.153846153846,0.538461538462,0.28571428571400004
27,Fold-2,0.5625,0.315789473684,ontologies.csv,0.6,0.166666666667,0.382978723404,0.428571428571,0.382978723404,0.625,0.620689655172,0.615384615385
28,Fold-3,0.666666666667,0.5806451612899999,ontologies.csv,0.5806451612899999,0.410256410256,0.48648648648599996,0.514285714286,0.48648648648599996,0.941176470588,0.666666666667,0.666666666667
29,Fold-4,0.382978723404,0.346153846154,ontologies.csv,0.42105263157899997,0.35294117647100004,0.36,0.382978723404,0.36,0.631578947368,0.444444444444,0.666666666667
30,Fold-0,0.769230769231,1.0,slr.csv,0.769230769231,1.0,0.769230769231,0.0,0.769230769231,0.33333333333299997,0.769230769231,0.0
31,Fold-1,0.769230769231,0.888888888889,slr.csv,0.769230769231,0.888888888889,0.769230769231,0.33333333333299997,0.769230769231,0.33333333333299997,0.769230769231,0.0
32,Fold-2,0.769230769231,0.888888888889,slr.csv,0.769230769231,0.75,0.769230769231,0.5714285714289999,0.769230769231,0.75,0.769230769231,0.33333333333299997
33,Fold-3,0.7272727272730001,0.8571428571430001,slr.csv,0.7272727272730001,0.8571428571430001,0.7272727272730001,0.0,0.7272727272730001,0.7272727272730001,0.7272727272730001,0.7272727272730001
34,Fold-4,0.8,0.8,slr.csv,0.8,0.888888888889,0.8,0.0,0.8,0.8,0.8,0.666666666667
35,Fold-0,0.301886792453,0.25,xbi.csv,0.615384615385,0.37209302325599997,0.615384615385,0.35555555555600005,0.7272727272730001,0.444444444444,0.8,0.615384615385
36,Fold-1,0.290909090909,0.25,xbi.csv,0.56,0.43243243243199997,0.56,0.340425531915,0.666666666667,0.516129032258,0.666666666667,0.666666666667
37,Fold-2,0.254545454545,0.253968253968,xbi.csv,0.592592592593,0.410256410256,0.592592592593,0.37209302325599997,0.666666666667,0.444444444444,0.608695652174,0.75
38,Fold-3,0.705882352941,0.666666666667,xbi.csv,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.666666666667
39,Fold-4,0.259259259259,0.229508196721,xbi.csv,0.56,0.41176470588200004,0.56,0.358974358974,0.666666666667,0.388888888889,0.777777777778,0.875
